hypothesis_id,family,family_size,dataset,beta,comparison,endpoint,null,alternative,test,multiplicity,status,threshold_analysis,mean_delta,ci_low,ci_high,one_sided_lower_95,one_sided_upper_95,raw_p,margin,paired_dz,wins,losses,ties,holm_adjusted_p,decision
F1_NI_CB_vs_Full__CICIDS2017_COVERAGE_R1__b0.1,F1_NI_CB_vs_Full,12,CICIDS2017_COVERAGE_R1,0.1,CB-Score minus Full-Contextual,F1,mean_delta <= -0.02,mean_delta > -0.02,exact paired sign-flip on delta+margin; 20000 paired bootstrap CI,Holm within family,LOCKED,method_specific,0.03641693796656552,-0.0032941577852056256,0.11178293682655657,-0.0023109745519572294,0.10944267019376136,0.0009765625,0.02,0.31038235989130186,5,5,0,0.01171875,MET_GATE_WITHIN_EVALUATED_SEEDS
F1_NI_CB_vs_Full__CICIDS2017_COVERAGE_R1__b0.2,F1_NI_CB_vs_Full,12,CICIDS2017_COVERAGE_R1,0.2,CB-Score minus Full-Contextual,F1,mean_delta <= -0.02,mean_delta > -0.02,exact paired sign-flip on delta+margin; 20000 paired bootstrap CI,Holm within family,LOCKED,method_specific,0.000896081965979633,-0.0039038239729632823,0.006441502737573532,-0.002688847370823219,0.005023820738422858,0.0009765625,0.02,0.10767974590180338,7,3,0,0.01171875,MET_GATE_WITHIN_EVALUATED_SEEDS
F1_NI_CB_vs_Full__CICIDS2017_COVERAGE_R1__b0.4,F1_NI_CB_vs_Full,12,CICIDS2017_COVERAGE_R1,0.4,CB-Score minus Full-Contextual,F1,mean_delta <= -0.02,mean_delta > -0.02,exact paired sign-flip on delta+margin; 20000 paired bootstrap CI,Holm within family,LOCKED,method_specific,0.0025917134602278084,-0.0021460149647083357,0.007056322260371339,-0.0012744477720384882,0.006403146643836555,0.0009765625,0.02,0.32623552127334715,4,6,0,0.01171875,MET_GATE_WITHIN_EVALUATED_SEEDS
F1_NI_CB_vs_Full__CICIDS2017_COVERAGE_R1__b0.6,F1_NI_CB_vs_Full,12,CICIDS2017_COVERAGE_R1,0.6,CB-Score minus Full-Contextual,F1,mean_delta <= -0.02,mean_delta > -0.02,exact paired sign-flip on delta+margin; 20000 paired bootstrap CI,Holm within family,LOCKED,method_specific,0.0005580281936589012,-0.004309593615581687,0.0062058936545619755,-0.0030791723865074673,0.004794478659817239,0.0009765625,0.02,0.06585889102200745,2,8,0,0.01171875,MET_GATE_WITHIN_EVALUATED_SEEDS
F1_NI_CB_vs_Full__CICIDS2017_COVERAGE_R1__b0.8,F1_NI_CB_vs_Full,12,CICIDS2017_COVERAGE_R1,0.8,CB-Score minus Full-Contextual,F1,mean_delta <= -0.02,mean_delta > -0.02,exact paired sign-flip on delta+margin; 20000 paired bootstrap CI,Holm within family,LOCKED,method_specific,0.0004168674310407681,-0.0038080993526587396,0.004680627218618333,-0.002728544599885902,0.0035727445869639914,0.0009765625,0.02,0.06105987038605948,6,4,0,0.01171875,MET_GATE_WITHIN_EVALUATED_SEEDS
F1_NI_CB_vs_Full__CICIDS2017_COVERAGE_R1__b1.0,F1_NI_CB_vs_Full,12,CICIDS2017_COVERAGE_R1,1.0,CB-Score minus Full-Contextual,F1,mean_delta <= -0.02,mean_delta > -0.02,exact paired sign-flip on delta+margin; 20000 paired bootstrap CI,Holm within family,LOCKED,method_specific,0.000235902050719732,-0.003227027387537285,0.0034159508412139926,-0.0026077067796805215,0.0029041031812516143,0.0009765625,0.02,0.04266779296652423,5,5,0,0.01171875,MET_GATE_WITHIN_EVALUATED_SEEDS
F1_NI_CB_vs_Full__CICIoT2023_R1__b0.1,F1_NI_CB_vs_Full,12,CICIoT2023_R1,0.1,CB-Score minus Full-Contextual,F1,mean_delta <= -0.02,mean_delta > -0.02,exact paired sign-flip on delta+margin; 20000 paired bootstrap CI,Holm within family,LOCKED,method_specific,-0.050912665694977474,-0.1490502537055918,0.0013786183289466124,-0.14606735941394344,0.00041682172950826125,0.501953125,0.02,-0.33408813829818806,4,6,0,0.501953125,INCONCLUSIVE
F1_NI_CB_vs_Full__CICIoT2023_R1__b0.2,F1_NI_CB_vs_Full,12,CICIoT2023_R1,0.2,CB-Score minus Full-Contextual,F1,mean_delta <= -0.02,mean_delta > -0.02,exact paired sign-flip on delta+margin; 20000 paired bootstrap CI,Holm within family,LOCKED,method_specific,-0.0022202851529477654,-0.00748622172585456,0.0016303688604705547,-0.0065269195452264915,0.0012077445600251584,0.001953125,0.02,-0.28021211267572443,4,6,0,0.01171875,MET_GATE_WITHIN_EVALUATED_SEEDS
F1_NI_CB_vs_Full__CICIoT2023_R1__b0.4,F1_NI_CB_vs_Full,12,CICIoT2023_R1,0.4,CB-Score minus Full-Contextual,F1,mean_delta <= -0.02,mean_delta > -0.02,exact paired sign-flip on delta+margin; 20000 paired bootstrap CI,Holm within family,LOCKED,method_specific,-0.0063927884926566645,-0.01576879229931923,0.0008730638723293111,-0.014012571521317888,4.037445240394416e-05,0.013671875,0.02,-0.45031457578624334,3,7,0,0.02734375,MET_GATE_WITHIN_EVALUATED_SEEDS
F1_NI_CB_vs_Full__CICIoT2023_R1__b0.6,F1_NI_CB_vs_Full,12,CICIoT2023_R1,0.6,CB-Score minus Full-Contextual,F1,mean_delta <= -0.02,mean_delta > -0.02,exact paired sign-flip on delta+margin; 20000 paired bootstrap CI,Holm within family,LOCKED,method_specific,-0.001997982580650115,-0.00530128662799401,0.0011725126742273661,-0.00476322272204204,0.0007192481083760848,0.0009765625,0.02,-0.364231147951306,3,7,0,0.01171875,MET_GATE_WITHIN_EVALUATED_SEEDS
F1_NI_CB_vs_Full__CICIoT2023_R1__b0.8,F1_NI_CB_vs_Full,12,CICIoT2023_R1,0.8,CB-Score minus Full-Contextual,F1,mean_delta <= -0.02,mean_delta > -0.02,exact paired sign-flip on delta+margin; 20000 paired bootstrap CI,Holm within family,LOCKED,method_specific,-0.0019416916404294883,-0.006979112528031014,0.0025645443402446517,-0.006114686038801919,0.0018947888986276973,0.0009765625,0.02,-0.24050589051282772,4,6,0,0.01171875,MET_GATE_WITHIN_EVALUATED_SEEDS
F1_NI_CB_vs_Full__CICIoT2023_R1__b1.0,F1_NI_CB_vs_Full,12,CICIoT2023_R1,1.0,CB-Score minus Full-Contextual,F1,mean_delta <= -0.02,mean_delta > -0.02,exact paired sign-flip on delta+margin; 20000 paired bootstrap CI,Holm within family,LOCKED,method_specific,0.0012916155608387436,-0.0008049331620400052,0.003983448061368192,-0.000547978950404271,0.0035096728980376648,0.0009765625,0.02,0.313036254236217,6,4,0,0.01171875,MET_GATE_WITHIN_EVALUATED_SEEDS
PRAUC_NI_CB_vs_Full__CICIDS2017_COVERAGE_R1__b0.1,PRAUC_NI_CB_vs_Full,12,CICIDS2017_COVERAGE_R1,0.1,CB-Score minus Full-Contextual,PR-AUC,mean_delta <= -0.02,mean_delta > -0.02,exact paired sign-flip on delta+margin; 20000 paired bootstrap CI,Holm within family,LOCKED,method_specific,0.03188556360971241,-0.006623774909230723,0.09164263093034625,-0.0038457799283424673,0.08348032139218237,0.0029296875,0.02,0.3568678048110299,5,5,0,0.01171875,MET_GATE_WITHIN_EVALUATED_SEEDS
PRAUC_NI_CB_vs_Full__CICIDS2017_COVERAGE_R1__b0.2,PRAUC_NI_CB_vs_Full,12,CICIDS2017_COVERAGE_R1,0.2,CB-Score minus Full-Contextual,PR-AUC,mean_delta <= -0.02,mean_delta > -0.02,exact paired sign-flip on delta+margin; 20000 paired bootstrap CI,Holm within family,LOCKED,method_specific,0.007546460585718992,0.0013538639896141273,0.014457972589275959,0.002202450788950861,0.013325136163716163,0.0009765625,0.02,0.6679908411234492,7,3,0,0.01171875,MET_GATE_WITHIN_EVALUATED_SEEDS
PRAUC_NI_CB_vs_Full__CICIDS2017_COVERAGE_R1__b0.4,PRAUC_NI_CB_vs_Full,12,CICIDS2017_COVERAGE_R1,0.4,CB-Score minus Full-Contextual,PR-AUC,mean_delta <= -0.02,mean_delta > -0.02,exact paired sign-flip on delta+margin; 20000 paired bootstrap CI,Holm within family,LOCKED,method_specific,0.008275379309295509,-0.003309734582164413,0.02270696366402646,-0.0017943889774957307,0.02021776619482957,0.0009765625,0.02,0.37027928922104164,8,2,0,0.01171875,MET_GATE_WITHIN_EVALUATED_SEEDS
PRAUC_NI_CB_vs_Full__CICIDS2017_COVERAGE_R1__b0.6,PRAUC_NI_CB_vs_Full,12,CICIDS2017_COVERAGE_R1,0.6,CB-Score minus Full-Contextual,PR-AUC,mean_delta <= -0.02,mean_delta > -0.02,exact paired sign-flip on delta+margin; 20000 paired bootstrap CI,Holm within family,LOCKED,method_specific,0.002892031140629517,-0.004971982936432714,0.014706900220108947,-0.004308449689198271,0.013091006470722978,0.0009765625,0.02,0.16204809264095335,4,6,0,0.01171875,MET_GATE_WITHIN_EVALUATED_SEEDS
PRAUC_NI_CB_vs_Full__CICIDS2017_COVERAGE_R1__b0.8,PRAUC_NI_CB_vs_Full,12,CICIDS2017_COVERAGE_R1,0.8,CB-Score minus Full-Contextual,PR-AUC,mean_delta <= -0.02,mean_delta > -0.02,exact paired sign-flip on delta+margin; 20000 paired bootstrap CI,Holm within family,LOCKED,method_specific,0.011162127089168309,0.0013752911834878797,0.022638620226025735,0.0027281008798065187,0.020699504492363064,0.0009765625,0.02,0.6122720078153606,7,3,0,0.01171875,MET_GATE_WITHIN_EVALUATED_SEEDS
PRAUC_NI_CB_vs_Full__CICIDS2017_COVERAGE_R1__b1.0,PRAUC_NI_CB_vs_Full,12,CICIDS2017_COVERAGE_R1,1.0,CB-Score minus Full-Contextual,PR-AUC,mean_delta <= -0.02,mean_delta > -0.02,exact paired sign-flip on delta+margin; 20000 paired bootstrap CI,Holm within family,LOCKED,method_specific,0.013470308378051457,0.001524100388522217,0.028045563936195915,0.003184550462741259,0.025414545103038876,0.0009765625,0.02,0.5950874402871097,9,1,0,0.01171875,MET_GATE_WITHIN_EVALUATED_SEEDS
PRAUC_NI_CB_vs_Full__CICIoT2023_R1__b0.1,PRAUC_NI_CB_vs_Full,12,CICIoT2023_R1,0.1,CB-Score minus Full-Contextual,PR-AUC,mean_delta <= -0.02,mean_delta > -0.02,exact paired sign-flip on delta+margin; 20000 paired bootstrap CI,Holm within family,LOCKED,method_specific,-0.02089555016875493,-0.061916867116097236,0.00014387646409464385,-0.06145190772798985,-5.2245827480381144e-05,0.5009765625,0.02,-0.3249633486062915,4,6,0,0.5009765625,INCONCLUSIVE
PRAUC_NI_CB_vs_Full__CICIoT2023_R1__b0.2,PRAUC_NI_CB_vs_Full,12,CICIoT2023_R1,0.2,CB-Score minus Full-Contextual,PR-AUC,mean_delta <= -0.02,mean_delta > -0.02,exact paired sign-flip on delta+margin; 20000 paired bootstrap CI,Holm within family,LOCKED,method_specific,-0.00024641004383428865,-0.001017885545270382,0.00043655242208796575,-0.0008807923489613545,0.00034046253259410904,0.0009765625,0.02,-0.19952258796490382,3,7,0,0.01171875,MET_GATE_WITHIN_EVALUATED_SEEDS
PRAUC_NI_CB_vs_Full__CICIoT2023_R1__b0.4,PRAUC_NI_CB_vs_Full,12,CICIoT2023_R1,0.4,CB-Score minus Full-Contextual,PR-AUC,mean_delta <= -0.02,mean_delta > -0.02,exact paired sign-flip on delta+margin; 20000 paired bootstrap CI,Holm within family,LOCKED,method_specific,0.00013575695135950027,-0.00044027659985418355,0.0005868184319533904,-0.0003380540585054159,0.0005336901711267778,0.0009765625,0.02,0.15258337301038746,7,3,0,0.01171875,MET_GATE_WITHIN_EVALUATED_SEEDS
PRAUC_NI_CB_vs_Full__CICIoT2023_R1__b0.6,PRAUC_NI_CB_vs_Full,12,CICIoT2023_R1,0.6,CB-Score minus Full-Contextual,PR-AUC,mean_delta <= -0.02,mean_delta > -0.02,exact paired sign-flip on delta+margin; 20000 paired bootstrap CI,Holm within family,LOCKED,method_specific,7.635540313921663e-05,-0.0007186799545014128,0.000840151201098167,-0.0005871273261596649,0.0007262515854224887,0.0009765625,0.02,0.05762277493688773,7,3,0,0.01171875,MET_GATE_WITHIN_EVALUATED_SEEDS
